# Columns:
# (1) lens_name
# (2) z_d: lens redshift
# (3) z_s: source redshift
# (4) sigma_kappa_LSS: rms external convergence from uncorrelated
# line-of-sight large-scale structure, calculated for the Planck 2018 cosmology
# (5) b_sigma: projection-bias correction factor for the predicted velocity dispersion
# (6) kappa_env: environmental convergence
SLACSJ0008-0004      0.440000      1.192420      0.022570      1.028353      0.000000
SLACSJ0029-0055      0.227066      0.931319      0.012920      1.028006      0.000000
SLACSJ0037-0942      0.195502      0.632162      0.009230      1.037880      0.000000
SLACSJ0044+0113      0.119540      0.196534      0.002660      1.033154      0.000000
SLACSJ0109+1500      0.293860      0.524807      0.010020      1.033586      0.000000
SLACSJ0143-1006      0.220987      1.104590      0.013840      1.032206      0.000000
SLACSJ0157-0056      0.513200      0.924261      0.020140      1.041457      0.013125
SLACSJ0159-0006      0.158444      0.747704      0.008750      1.021975      0.263368
SLACSJ0216-0813      0.331797      0.523500      0.010430      1.030379      0.000000
SLACSJ0252+0039      0.280300      0.981774      0.015390      1.020825      0.000000
SLACSJ0324+0045      0.321023      0.919852      0.016110      1.026915      0.000000
SLACSJ0324-0110      0.445575      0.623932      0.013430      1.036830      0.000000
SLACSJ0330-0020      0.350700      1.070880      0.018640      1.035790      0.000000
SLACSJ0405-0455      0.075267      0.809818      0.004840      1.041587      0.000000
SLACSJ0728+3835      0.205774      0.687749      0.010090      1.037286      0.000000
SLACSJ0737+3216      0.322392      0.581164      0.011400      1.028485      0.000000
SLACSJ0753+3416      0.137063      0.962763      0.008850      1.026039      0.016813
SLACSJ0754+1927      0.153433      0.740074      0.008490      1.018857      0.000000
SLACSJ0757+1956      0.120570      0.832601      0.007410      1.021781      0.000000
SLACSJ0822+2652      0.241403      0.594145      0.010090      1.035657      0.000000
SLACSJ0826+5630      0.131818      1.290700      0.009710      1.025235      0.000000
SLACSJ0841+3824      0.115943      0.656704      0.006350      1.054062      0.000000
SLACSJ0847+2348      0.155085      0.532738      0.007030      1.019261      0.000000
SLACSJ0851+0505      0.127584      0.637072      0.006760      1.023180      0.000000
SLACSJ0903+4116      0.430265      1.064500      0.020760      1.024440      0.000000
SLACSJ0912+0029      0.164202      0.323939      0.004980      1.044214      0.000000
SLACSJ0920+3028      0.288135      0.391771      0.007370      1.021067      0.074841
SLACSJ0935-0003      0.347625      0.467000      0.009340      1.023260      0.000000
SLACSJ0936+0913      0.189734      0.587954      0.008630      1.030689      0.000000
SLACSJ0946+1006      0.221937      0.608514      0.009770      1.017393      0.000000
SLACSJ0955+0101      0.110937      0.315936      0.003870      1.089810      0.000000
SLACSJ0955+3014      0.321441      0.467127      0.009190      1.037727      0.000000
SLACSJ0956+5100      0.240538      0.469932      0.008330      1.037783      0.000000
SLACSJ0956+5539      0.195918      0.848280      0.011020      1.016748      0.000000
SLACSJ0959+0410      0.125987      0.535006      0.006050      1.048630      0.000000
SLACSJ0959+4416      0.236893      0.531503      0.009160      1.024462      0.000000
SLACSJ1010+3124      0.166770      0.424518      0.006290      1.036108      0.000000
SLACSJ1016+3859      0.167963      0.439421      0.006490      1.026592      0.000000
SLACSJ1020+1122      0.282177      0.552951      0.010320      1.031459      0.000000
SLACSJ1023+4230      0.191200      0.695969      0.009660      1.026603      0.000000
SLACSJ1029+0420      0.104462      0.615418      0.005630      1.064223      0.000000
SLACSJ1032+5322      0.133421      0.328969      0.004500      1.078350      0.006333
SLACSJ1041+0112      0.100648      0.217216      0.002690      1.026483      0.000000
SLACSJ1048+1313      0.132961      0.667892      0.007170      1.049857      0.000000
SLACSJ1051+4439      0.163372      0.538041      0.007340      1.033339      0.000000
SLACSJ1056+4141      0.134341      0.831757      0.008110      1.026379      0.000000
SLACSJ1100+5329      0.317123      0.858125      0.015280      1.052844      0.000000
SLACSJ1101+1523      0.178042      0.516938      0.007570      1.039958      0.000000
SLACSJ1103+5322      0.158200      0.735261      0.008660      1.073997      0.000000
SLACSJ1106+5228      0.095523      0.406905      0.004120      1.047997      0.000000
SLACSJ1112+0826      0.272942      0.629502      0.011270      1.034850      0.000000
SLACSJ1116+0729      0.169657      0.686040      0.008780      1.030336      0.000000
SLACSJ1127+2312      0.130302      0.361030      0.004760      1.023244      0.000000
SLACSJ1134+6027      0.152822      0.474229      0.006440      1.029740      0.000000
SLACSJ1137+1818      0.124069      0.462742      0.005460      1.022876      0.000000
SLACSJ1142+1001      0.221949      0.503896      0.008480      1.021582      0.000000
SLACSJ1142+2509      0.164049      0.659464      0.008370      1.024188      0.000000
SLACSJ1143-0144      0.106047      0.401893      0.004430      1.030875      0.000000
SLACSJ1144+0436      0.103635      0.255070      0.003140      1.027834      0.000000
SLACSJ1153+4612      0.179697      0.875098      0.010500      1.023592      0.000000
SLACSJ1204+0358      0.164338      0.630738      0.008160      1.016937      0.059361
SLACSJ1205+4910      0.214916      0.480836      0.008030      1.039761      0.000000
SLACSJ1213+2930      0.090604      0.595393      0.004910      1.043507      0.000000
SLACSJ1213+6708      0.122872      0.640230      0.006570      1.032871      0.000000
SLACSJ1218+0830      0.135038      0.717227      0.007540      1.038075      0.000000
SLACSJ1250+0523      0.231797      0.795289      0.011970      1.016509      0.000000
SLACSJ1251-0208      0.224564      0.784300      0.011620      1.063585      0.000000
SLACSJ1301+0834      0.090155      0.533091      0.004600      1.058484      0.000000
SLACSJ1330+1750      0.207399      0.371727      0.006300      1.036321      0.000000
SLACSJ1402+6321      0.204562      0.481400      0.007820      1.034200      0.000000
SLACSJ1403+0006      0.188787      0.473041      0.007360      1.030740      0.026624
SLACSJ1403+3309      0.062463      0.772017      0.004000      1.029615      0.000000
SLACSJ1416+5136      0.298770      0.811083      0.014220      1.033101      0.000000
SLACSJ1420+6019      0.062940      0.535059      0.003380      1.058437      0.000000
SLACSJ1430+4105      0.284962      0.575270      0.010720      1.033417      0.000000
SLACSJ1430+6104      0.168833      0.653742      0.008500      1.030568      0.000000
SLACSJ1432+6317      0.123074      0.664285      0.006720      1.017838      0.000000
SLACSJ1433+2835      0.091177      0.411458      0.004000      1.018178      0.000000
SLACSJ1436-0000      0.285339      0.804949      0.013770      1.035752      0.000000
SLACSJ1443+0304      0.133895      0.418665      0.005390      1.048788      0.000000
SLACSJ1451-0239      0.125343      0.520295      0.005920      1.016220      0.000000
SLACSJ1525+3327      0.358366      0.717252      0.014250      1.050694      0.000000
SLACSJ1531-0105      0.159652      0.743913      0.008780      1.042096      0.000000
SLACSJ1538+5817      0.142794      0.531175      0.006610      1.029103      0.000000
SLACSJ1541+3642      0.140595      0.738873      0.007920      1.019122      0.000000
SLACSJ1543+2202      0.268068      0.396586      0.007350      1.030559      0.000000
SLACSJ1550+2020      0.135075      0.350106      0.004760      1.042154      0.000000
SLACSJ1553+3004      0.160355      0.566274      0.007490      1.020703      0.000000
SLACSJ1607+2147      0.208904      0.486510      0.007980      1.022441      0.000000
SLACSJ1621+3931      0.244893      0.602119      0.010270      1.037743      0.000000
SLACSJ1627-0053      0.207572      0.524135      0.008420      1.026324      0.000000
SLACSJ1630+4520      0.248018      0.793300      0.012500      1.027296      0.000000
SLACSJ1633+1441      0.128101      0.580403      0.006430      1.027696      0.000000
SLACSJ1636+4707      0.228202      0.674500      0.010670      1.033584      0.000000
SLACSJ2238-0754      0.137083      0.712561      0.007610      1.037191      0.000000
SLACSJ2300+0022      0.228500      0.463466      0.008030      1.031796      0.000000
SLACSJ2303+1422      0.155228      0.516965      0.006900      1.046356      0.000000
SLACSJ2309-0039      0.290524      1.004790      0.015970      1.017386      0.000000
SLACSJ2321-0939      0.081860      0.532400      0.004240      1.032543      0.000000
SLACSJ2324+0105      0.189925      0.277520      0.004510      1.060710      0.000000
SLACSJ2341+0000      0.186000      0.807025      0.010310      1.054833      0.006682
BELLSJ0151+0049      0.517121      1.363570      0.026560      1.052807      0.000000
BELLSJ0747+4448      0.436598      0.896565      0.018500      1.050986      0.000000
BELLSJ0747+5055      0.438418      0.898313      0.018560      1.035527      0.000000
BELLSJ0801+4727      0.483120      1.518070      0.027250      1.016392      0.000000
BELLSJ0830+5116      0.530094      1.331670      0.026480      1.037916      0.000000
