#lens_name, Survey name, Spectrograph, RA/Dec, z_len, z_src, \sigma_{obs}, \sigma_{obs}_err, seeing50, s_{fib}, velocity bias b_\sigma, <\kappa_{LSS}^2>^{1/2}
#z_len--from DR17. For duplicate lenses, redshifts and velocity dispersions are taken from entries with specprimary=1.
#For SLACSJ0157$-$0056, the velocity dispersion measured by BOSS is adopted.
J1023+4230     SLACS      SDSS  102332.26+423001.8      0.191144      0.695969    254.763611     13.742515      1.850000      1.176759      1.026603      0.009660
J1029+0420     SLACS      SDSS  102922.94+042001.8      0.104436      0.615418    208.001083      8.584087      2.140000      1.241619      1.064223      0.005630
J1032+5322     SLACS      SDSS  103235.84+532234.9      0.133402      0.328969    292.953522     15.025627      2.030000      1.214889      1.078350      0.004500
J1041+0112      S4TM      SDSS  104122.85+011224.2      0.100645      0.217216    198.097122      7.579279      1.661670      1.146565      1.026483      0.002690
J1048+1313      S4TM      SDSS  104809.40+131352.9      0.132971      0.667892    198.300125     10.101123      0.956000      1.222790      1.049857      0.007170
J1051+4439      S4TM      SDSS  105109.41+443908.5      0.163383      0.538041    216.052307     16.156672      1.210000      1.142750      1.033339      0.007340
J1056+4141      S4TM      SDSS  105657.61+414114.6      0.134350      0.831757    157.165527     10.339163      1.370000      1.129112      1.026379      0.008110
J1100+5329     SLACS      SDSS  110024.39+532913.7      0.317124      0.858125    189.744919     25.027512      1.940000      1.194860      1.052844      0.015280
J1101+1523      S4TM      SDSS  110113.13+152339.6      0.178042      0.516938    274.533722     15.024964      1.396670      1.128742      1.039958      0.007570
J1103+5322     SLACS      SDSS  110308.21+532228.2      0.158236      0.735261    199.240326     11.888684      1.940000      1.194860      1.073997      0.008660
J1106+5228     SLACS      SDSS  110646.16+522837.7      0.095505      0.406905    263.796814     10.212546      1.940000      1.194860      1.047997      0.004120
J1112+0826     SLACS      SDSS  111250.60+082610.4      0.272886      0.629502    298.862213     21.427824      3.020000      1.511355      1.034850      0.011270
J1116+0729      S4TM      SDSS  111641.66+072945.6      0.169653      0.686040    190.346451     11.826409      1.246670      1.137690      1.030336      0.008780
